k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.6459125401392509,0.6459125401392509,0.6345740902060955,0.6345740902060955,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6740365221886611,0.6740365221886611,0.6475707174093994,0.6475707174093994,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6912462143572672,0.6912462143572672,0.6741277360850039,0.6741277360850039,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.693587282879737,0.693587282879737,0.6772833226311443,0.6772833226311443,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7237727354903252,0.7237727354903252,0.7122496802084313,0.7122496802084313,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7237727354903252,0.7218974830699835,0.7122496802084313,0.7264308297376352,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7237727354903252,0.7186583059543225,0.7122496802084313,0.7273180984637023,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7567731328989088,0.7567731328989088,0.753829675682592,0.753829675682592,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7902307067252237,0.7902307067252237,0.7787296661683915,0.7787296661683915,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.850355456179766,0.850355456179766,0.8366543010867002,0.8366543010867002,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8649191576520178,0.8649191576520178,0.837453803259979,0.837453803259979,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8655505866696686,0.8655505866696686,0.8392470972990528,0.8392470972990528,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8675601037013462,0.8675601037013462,0.8437078926848685,0.8437078926848685,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8675601037013462,0.8648842194292211,0.8437078926848685,0.8513450715064182,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8675781109872168,0.8675781109872168,0.8539760983948178,0.8539760983948178,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8702191456784917,0.8702191456784917,0.859420785796088,0.859420785796088,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.8720183158764684,0.8720183158764684,0.8646606072078664,0.8646606072078664,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.8737484772424476,0.8737484772424476,0.8650568812644747,0.8650568812644747,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.8742183385763291,0.8742183385763291,0.8666289663592268,0.8666289663592268,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
21,0.8785091950223581,0.8785091950223581,0.870558638857304,0.870558638857304,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
22,0.8808269303893376,0.8808269303893376,0.8732730843622173,0.8732730843622173,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
23,0.8808269303893376,0.8806644509456898,0.8732730843622173,0.875412792426498,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
24,0.889185803174702,0.889185803174702,0.8824609541138656,0.8824609541138656,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
25,0.8953634440144902,0.8953634440144902,0.8842501655906239,0.8842501655906239,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
26,0.9069760676475281,0.9069760676475281,0.8978355806324972,0.8978355806324972,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
27,0.9082387776386864,0.9082387776386864,0.8984973181310772,0.8984973181310772,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
28,0.9143486607077137,0.9143486607077137,0.9022965411287133,0.9022965411287133,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
29,0.9143486607077137,0.9122698838701542,0.9022965411287133,0.9045950512523298,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
30,0.9144250562839473,0.9144250562839473,0.9048733645688741,0.9048733645688741,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
31,0.9144250562839473,0.9140496809085719,0.9048733645688741,0.9048121772755122,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
32,0.9144250562839473,0.914049680908572,0.9048733645688741,0.9052616279294151,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
33,0.9144250562839473,0.9122065822231255,0.9048733645688741,0.907736413225357,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
